policy_year,count,revenue,industry,state,employees,average_employee_age,multinational,risk_score
2022,0,568584,Manufacturing,NC,190,16,0,2
2021,0,1091204,General Commercial,FL,71,60,0,3
2016,0,542504,Manufacturing,WA,159,23,0,NA
2014,0,431246,General Commercial,VA,35,40,0,NA
2016,0,2500193,Financial Services,AZ,181,28,1,3
2015,0,1021003,General Commercial,IL,111,49,0,1
2022,0,2568305,Manufacturing,NJ,131,58,1,2
2022,0,1601545,Manufacturing,CA,122,47,0,2
2018,1,1535114,General Commercial,VA,215,16,0,2
2021,0,2279583,General Commercial,FL,154,49,0,5
2023,0,10381763,Financial Services,IL,894,16,1,3
2023,0,248878,Manufacturing,TX,41,49,0,NA
2022,0,1048818,General Commercial,IL,195,38,0,3
2020,0,1288200,General Commercial,NY,62,26,0,3
2014,1,601434,Oil/Gas,CA,39,18,0,NA
2023,0,551062,General Commercial,OH,66,33,0,2
2022,0,381319,General Commercial,MA,111,41,0,NA
2021,0,318795,General Commercial,WA,40,29,0,2
2015,0,1440077,General Commercial,TX,60,23,0,NA
2020,0,3757766,General Commercial,FL,361,16,1,3
2013,0,1260573,Manufacturing,NY,87,37,0,NA
2016,0,475725,Financial Services,TX,99,16,0,3
2024,0,621694,Financial Services,CA,19,73,0,3
2024,0,290862,Financial Services,CA,28,85,0,3
2016,0,1521672,Manufacturing,NY,319,39,0,NA
2018,0,1093068,General Commercial,VA,201,17,0,NA
2018,0,2646055,Manufacturing,IL,354,60,1,NA
2018,0,1518524,General Commercial,AZ,156,33,0,4
2013,0,1658292,Financial Services,WA,116,16,0,3
2023,0,1019639,Financial Services,CA,187,61,0,2
2020,0,2676936,General Commercial,FL,111,28,1,4
2018,0,1425066,Financial Services,GA,218,17,0,1
2023,0,2012903,Manufacturing,PA,185,41,0,1
2016,1,2172852,General Commercial,OH,325,23,0,3
2014,0,866627,General Commercial,OH,78,27,0,5
2023,0,380404,Manufacturing,MA,18,24,0,3
2015,0,197224,Manufacturing,NY,57,16,0,NA
2013,1,2855401,Financial Services,CA,69,18,1,2
2024,0,1028466,Manufacturing,NC,182,36,0,NA
2019,0,894445,General Commercial,FL,140,20,0,3
2020,0,1858199,Manufacturing,FL,105,24,0,NA
2017,0,1519461,Manufacturing,GA,259,19,0,NA
2021,0,7875395,Manufacturing,FL,248,39,1,NA
2016,0,1016094,General Commercial,NY,65,17,0,4
2018,0,1433328,General Commercial,VA,235,26,0,2
2013,0,402018,General Commercial,MI,123,16,0,3
2017,0,287436,Manufacturing,OH,112,34,0,1
2014,0,456354,General Commercial,CA,40,27,0,3
2023,0,255202,Financial Services,GA,28,62,0,NA
2014,0,324946,Manufacturing,NY,92,25,0,NA
2017,0,1806495,Manufacturing,IL,214,26,0,NA
2019,1,1555543,General Commercial,MA,58,16,0,3
2015,0,1074601,General Commercial,NY,85,32,0,NA
2024,0,1929866,Financial Services,CA,473,80,0,NA
2024,0,264457,Manufacturing,OH,27,17,0,2
2018,0,662979,General Commercial,GA,42,27,0,NA
2016,0,4166880,Financial Services,TX,328,17,1,NA
2018,0,742138,Manufacturing,OH,127,22,0,NA
2018,0,626354,Financial Services,TX,293,44,0,2
2021,0,846421,Manufacturing,WA,43,37,0,NA
2020,0,814502,General Commercial,TX,52,19,0,NA
2018,0,558335,General Commercial,NY,50,86,0,4
2014,0,839003,Manufacturing,PA,16,38,0,3
2023,0,228485,Manufacturing,IL,40,58,0,2
2015,0,794913,Manufacturing,CA,52,23,0,NA
2014,0,218321,Manufacturing,AZ,9,38,0,3
2016,0,1156549,Manufacturing,MI,177,31,0,4
2021,0,2503864,General Commercial,TX,395,22,1,5
2017,0,636911,General Commercial,CA,48,31,0,NA
2022,0,624968,General Commercial,CA,16,36,0,NA
2017,0,716308,General Commercial,CA,59,17,0,3
2020,0,1225764,General Commercial,CA,206,44,0,3
2021,0,593431,Manufacturing,TX,49,20,0,NA
2023,1,1193765,Financial Services,CA,148,18,0,3
2021,0,802123,General Commercial,FL,45,22,0,2
2022,0,1830604,Financial Services,CA,85,49,0,4
2014,0,722356,Financial Services,MI,68,25,0,2
2013,0,988800,General Commercial,AZ,179,37,0,NA
2019,0,1058560,General Commercial,TX,375,22,0,2
2015,0,1469732,General Commercial,CA,45,22,0,NA
2023,0,1321281,General Commercial,IL,43,36,0,NA
2020,0,1592908,General Commercial,GA,74,16,0,3
2013,1,1386599,Manufacturing,MA,177,16,0,NA
2014,0,281473,General Commercial,FL,17,43,0,3
2015,1,965722,General Commercial,NY,208,84,0,5
2015,0,3147872,General Commercial,OH,175,51,1,NA
2013,1,2240448,Manufacturing,NY,204,21,0,NA
2014,0,793520,General Commercial,PA,25,34,0,3
2020,1,992527,General Commercial,CA,69,36,0,1
2023,0,761693,Manufacturing,FL,194,34,0,3
2018,2,1873577,Manufacturing,CA,438,25,0,3
2019,0,249779,Manufacturing,NJ,58,24,0,4
2023,0,577063,General Commercial,CA,25,22,0,NA
2020,0,1167572,Manufacturing,VA,316,16,0,4
2016,0,1400675,General Commercial,NJ,193,51,0,3
2022,1,2592999,Financial Services,MI,453,35,1,1
2020,0,1044278,Financial Services,NC,125,37,0,NA
2022,0,1219698,General Commercial,AZ,101,48,0,NA
2024,0,1059246,Manufacturing,TX,56,48,0,2
2023,0,1287647,General Commercial,TX,71,18,0,NA
2016,0,1433373,Manufacturing,PA,174,16,0,NA
2019,0,1020546,General Commercial,MA,104,44,0,3
2018,0,912435,General Commercial,FL,32,27,0,1
2017,0,1298715,General Commercial,TX,122,24,0,NA
2017,0,519537,Manufacturing,FL,50,23,0,4
2015,0,1687702,General Commercial,IL,43,29,0,1
2014,0,2294469,Manufacturing,FL,202,81,0,3
2021,0,2134227,Financial Services,TX,195,26,0,NA
2019,0,1636772,General Commercial,FL,137,28,0,2
2022,0,541977,Manufacturing,NC,83,32,0,NA
2019,1,1867207,General Commercial,GA,180,25,0,NA
2019,0,1349164,General Commercial,FL,170,40,0,NA
2017,3,12710041,General Commercial,CA,1522,33,1,NA
2024,0,926460,Manufacturing,IL,66,46,0,5
2013,0,896577,General Commercial,WA,75,67,0,2
2022,0,798551,Manufacturing,GA,279,16,0,NA
2021,0,243176,General Commercial,IL,63,39,0,3
2023,0,1271270,General Commercial,FL,49,27,0,4
2015,0,506762,Manufacturing,TX,53,16,0,5
2020,0,1062476,Financial Services,AZ,240,29,0,NA
2016,0,1560434,General Commercial,GA,94,29,0,1
2016,0,1613441,General Commercial,NJ,269,23,0,NA
2017,0,2322707,General Commercial,NC,668,20,0,NA
2021,0,1288655,Manufacturing,CA,268,20,0,3
2018,0,799545,Manufacturing,CA,38,16,0,NA
2022,0,218106,General Commercial,VA,87,20,0,NA
2020,0,306032,Manufacturing,OH,22,33,0,3
2015,1,2999883,Oil/Gas,FL,153,51,1,4
2016,0,2054302,Oil/Gas,OH,303,46,0,2
2020,0,534944,Financial Services,NY,28,16,0,NA
2023,0,1125123,Financial Services,TX,35,45,0,5
2021,0,258036,Financial Services,AZ,28,47,0,NA
2015,0,2050499,Manufacturing,NY,186,16,0,2
2015,0,1651768,General Commercial,NC,220,20,0,4
2021,0,984385,Manufacturing,OH,72,35,0,3
2023,0,713683,Financial Services,FL,62,16,0,2
2021,0,2142513,General Commercial,FL,728,28,0,NA
2018,0,1450008,General Commercial,FL,120,16,0,3
2015,0,1552126,Manufacturing,IL,365,31,0,3
2015,0,388272,General Commercial,TX,53,28,0,NA
2013,0,1987060,Financial Services,NC,60,26,0,2
2014,0,2600383,General Commercial,CA,258,64,1,4
2015,0,604348,General Commercial,VA,124,26,0,NA
2014,1,1726258,Manufacturing,MI,137,16,0,3
2023,0,332166,Manufacturing,NC,55,22,0,NA
2019,0,970119,General Commercial,VA,28,23,0,5
2019,0,719214,General Commercial,IL,38,29,0,4
2019,0,2044138,General Commercial,MI,134,16,0,NA
2014,0,6522862,Manufacturing,FL,1662,70,1,NA
2017,0,4693865,Oil/Gas,TX,391,35,1,3
2017,0,374984,Manufacturing,IL,20,23,0,NA
2019,0,910245,General Commercial,WA,94,34,0,5
2013,0,325930,General Commercial,OH,35,25,0,NA
2023,0,1811091,General Commercial,TX,271,16,0,5
2021,0,423594,Financial Services,FL,73,25,0,3
2017,0,425165,General Commercial,AZ,15,30,0,4
2016,0,731046,Financial Services,NY,117,72,0,4
2017,0,364208,Manufacturing,GA,8,16,0,NA
2014,0,1654604,General Commercial,GA,277,32,0,NA
2019,2,1282991,General Commercial,MA,77,29,0,NA
2020,0,1545816,Manufacturing,CA,222,45,0,3
2013,0,928657,Manufacturing,MI,59,29,0,NA
2014,0,935993,General Commercial,VA,87,32,0,3
2023,0,462618,General Commercial,TX,35,30,0,3
2013,0,4185095,General Commercial,CA,475,19,1,NA
2020,0,1288775,Financial Services,IL,73,31,0,NA
2022,0,559316,General Commercial,OH,58,34,0,3
2021,0,1304425,Manufacturing,FL,49,22,0,NA
2013,0,715179,Manufacturing,CA,51,26,0,NA
2016,0,668435,General Commercial,CA,81,16,0,NA
2019,0,827081,Financial Services,PA,99,45,0,5
2023,0,170819,General Commercial,NY,29,20,0,NA
2016,0,1265793,General Commercial,NY,300,31,0,5
2017,0,2031036,Manufacturing,NJ,95,35,0,2
2023,0,952747,Oil/Gas,FL,145,16,0,NA
2014,0,484529,General Commercial,NY,48,30,0,NA
2020,1,644789,Manufacturing,NY,45,43,0,NA
2014,0,568668,Manufacturing,TX,52,24,0,4
2022,0,3053878,Manufacturing,FL,1081,22,1,3
2015,2,3862603,General Commercial,NY,190,19,1,5
2019,0,2556764,Manufacturing,AZ,220,17,1,2
2017,0,734597,General Commercial,NY,14,20,0,NA
2022,0,370723,Financial Services,FL,32,47,0,NA
2024,0,505102,General Commercial,CA,63,48,0,NA
2016,1,1065136,General Commercial,NC,202,46,0,NA
2015,0,1399518,General Commercial,AZ,362,44,0,4
2022,0,1957725,General Commercial,AZ,240,36,0,NA
2017,0,1950028,Manufacturing,NC,76,21,0,3
2022,0,311864,Financial Services,VA,69,44,0,NA
2023,0,2403730,Financial Services,CA,375,52,0,3
2023,0,1075411,Financial Services,FL,34,18,0,2
2023,1,2266060,Manufacturing,MA,236,28,0,NA
2024,0,4398116,General Commercial,TX,290,35,1,4
2021,0,458151,Manufacturing,FL,51,92,0,4
2019,0,1063676,Financial Services,CA,57,28,0,5
2019,0,3620199,General Commercial,NY,524,41,1,3
2021,0,972098,General Commercial,WA,80,18,0,NA
2015,2,1684197,General Commercial,MI,96,28,0,NA
2013,0,126000,Manufacturing,FL,9,36,0,3
2024,0,1649637,Financial Services,OH,231,32,0,2
2015,0,3000358,General Commercial,TX,310,43,1,NA
2017,0,1505967,Manufacturing,IL,192,19,0,NA
2022,0,514279,Financial Services,NY,89,17,0,NA
2020,0,1658273,General Commercial,TX,56,23,0,3
2023,0,617152,Manufacturing,WA,73,18,0,1
2015,1,274064,Manufacturing,MI,36,28,0,2
2015,0,196391,General Commercial,TX,30,28,0,5
2016,0,544524,General Commercial,MI,163,19,0,NA
2015,0,624326,Oil/Gas,NY,24,19,0,NA
2024,0,1581259,General Commercial,FL,232,17,0,5
2022,0,496239,General Commercial,FL,84,25,0,3
2018,0,370521,General Commercial,FL,20,32,0,NA
2018,0,2786707,General Commercial,TX,346,42,1,5
2019,0,2085469,General Commercial,VA,109,42,0,NA
2023,0,1365675,Manufacturing,NY,108,63,0,NA
2023,0,2651211,General Commercial,VA,131,31,1,NA
2018,0,1004911,General Commercial,NJ,183,42,0,NA
2021,0,1104041,Financial Services,VA,161,26,0,3
2015,1,279517,General Commercial,TX,81,16,0,NA
2015,2,2642109,General Commercial,CA,273,16,1,3
2017,0,277484,Manufacturing,CA,78,40,0,NA
2016,0,289072,Manufacturing,FL,49,16,0,NA
2017,0,1075184,Financial Services,TX,190,28,0,2
2014,0,1790861,Manufacturing,IL,366,25,0,3
2013,0,2254691,Manufacturing,OH,198,35,0,NA
2018,0,940398,Manufacturing,FL,131,66,0,NA
2016,0,337154,General Commercial,CA,45,33,0,2
2015,0,2491354,Financial Services,FL,138,21,0,NA
2021,0,3657710,Manufacturing,NC,289,29,1,NA
2015,2,2346080,General Commercial,NY,173,29,0,NA
2015,1,7292977,Manufacturing,PA,2940,34,1,3
2014,0,670947,Manufacturing,OH,189,16,0,NA
2017,1,1180280,General Commercial,CA,310,28,0,4
2022,0,791729,Financial Services,FL,194,37,0,4
2021,0,591549,General Commercial,PA,37,21,0,2
2020,0,1891371,General Commercial,FL,124,29,0,3
2015,0,1120127,General Commercial,MI,129,42,0,3
2018,0,671297,Manufacturing,GA,79,17,0,NA
2017,2,3449204,Manufacturing,CA,526,22,1,2
2019,0,317551,Manufacturing,IL,15,53,0,NA
2019,0,2679165,Manufacturing,IL,191,16,1,NA
2024,0,2603535,Oil/Gas,FL,287,43,1,2
2020,0,541852,Oil/Gas,MA,154,17,0,4
2020,0,669969,General Commercial,MI,45,35,0,NA
2014,0,799172,General Commercial,OH,60,28,0,NA
2014,0,1126142,Manufacturing,VA,182,30,0,NA
2015,0,350121,Manufacturing,MA,17,23,0,4
2018,1,858518,Manufacturing,CA,87,16,0,NA
2023,0,3475027,General Commercial,TX,530,63,1,2
2020,0,574441,General Commercial,CA,59,20,0,3
2022,0,272402,Manufacturing,TX,25,23,0,NA
2016,0,2220645,Manufacturing,MA,157,21,0,NA
2018,0,573720,Manufacturing,VA,11,27,0,3
2020,0,2147093,General Commercial,GA,435,38,0,NA
2021,0,1748533,Manufacturing,CA,310,21,0,NA
2016,0,438990,Manufacturing,CA,51,26,0,4
2017,0,1211128,General Commercial,WA,142,19,0,4
2023,0,658238,General Commercial,MA,69,72,0,4
2020,0,1173026,Manufacturing,PA,99,18,0,NA
2017,0,1282079,Financial Services,VA,157,30,0,3
2022,0,576609,General Commercial,PA,124,46,0,3
2023,0,1085787,General Commercial,CA,140,24,0,5
2016,0,532676,General Commercial,OH,43,58,0,NA
2018,0,250070,General Commercial,GA,129,31,0,NA
2016,0,462479,General Commercial,VA,16,30,0,4
2016,1,2025668,Oil/Gas,MI,222,16,0,NA
2023,0,5541288,Manufacturing,MI,157,16,1,NA
2020,0,659979,Manufacturing,TX,71,34,0,NA
2016,1,623122,Manufacturing,MI,31,16,0,2
2019,0,575472,General Commercial,GA,14,36,0,2
2016,0,1114592,General Commercial,MA,55,35,0,5
2015,1,992654,Financial Services,FL,124,16,0,2
2024,0,713229,Manufacturing,FL,112,25,0,NA
2016,1,1299086,Financial Services,OH,53,22,0,4
2020,0,395256,General Commercial,FL,41,26,0,NA
2013,0,2862876,Manufacturing,TX,91,24,1,2
2018,1,1801593,General Commercial,GA,279,38,0,NA
2020,0,8222775,Manufacturing,MA,1658,38,1,2
2023,0,2470518,General Commercial,PA,484,40,0,5
2023,0,3402930,Financial Services,WA,238,31,1,4
2015,0,328822,General Commercial,FL,67,35,0,NA
2024,0,7084052,Manufacturing,FL,436,16,1,5
2022,0,1010392,Manufacturing,IL,111,26,0,3
2017,0,637402,Manufacturing,CA,98,26,0,NA
2019,0,1413026,Manufacturing,FL,156,16,0,NA
2018,1,1333794,General Commercial,MA,45,16,0,2
2015,0,1119948,General Commercial,FL,38,23,0,NA
2023,0,677699,Manufacturing,CA,57,20,0,2
2022,0,2112619,General Commercial,NJ,86,23,0,2
2019,0,438898,Manufacturing,WA,16,29,0,1
2014,1,839758,Financial Services,MI,38,16,0,NA
2017,0,1046770,General Commercial,NY,210,23,0,5
2021,0,932993,General Commercial,PA,116,31,0,2
2015,0,2661402,General Commercial,OH,263,53,1,2
2023,0,699698,Manufacturing,CA,52,42,0,NA
2019,0,1391525,General Commercial,PA,370,37,0,NA
2023,0,187991,Manufacturing,NY,25,35,0,NA
2019,0,1338898,Financial Services,CA,480,28,0,2
2015,0,1020825,Financial Services,NJ,134,29,0,2
2019,0,700508,Manufacturing,FL,34,18,0,NA
2016,1,2611348,Manufacturing,NJ,227,22,1,NA
2022,0,1651116,Financial Services,CA,356,16,0,NA
2015,0,876951,Manufacturing,FL,36,16,0,NA
2022,0,650465,General Commercial,NC,54,48,0,5
2014,0,3437018,Manufacturing,TX,552,36,1,NA
2015,0,763163,General Commercial,OH,49,23,0,4
2014,0,3113174,Financial Services,PA,411,40,1,NA
2020,0,1603939,General Commercial,MA,206,26,0,1
2021,0,1472059,General Commercial,WA,191,37,0,NA
2023,0,412407,General Commercial,PA,47,22,0,NA
2021,0,598913,Manufacturing,CA,76,21,0,NA
2014,1,587192,General Commercial,NY,96,16,0,2
2016,0,461377,General Commercial,CA,23,22,0,3
2018,2,4355993,General Commercial,CA,1435,17,1,1
2013,0,877235,General Commercial,WA,33,21,0,NA
2023,0,694864,General Commercial,TX,201,22,0,3
2016,1,904701,Manufacturing,MI,108,16,0,3
2018,0,5000252,Financial Services,IL,778,19,1,NA
2018,0,877326,Manufacturing,IL,101,19,0,NA
2020,1,2371611,Financial Services,NY,187,65,0,NA
2020,0,3281195,Oil/Gas,GA,327,23,1,3
2013,0,487228,Manufacturing,NC,34,19,0,1
2021,0,1799868,Financial Services,NC,281,21,0,3
2015,0,689217,Financial Services,WA,164,63,0,2
2015,0,1264284,General Commercial,NY,48,26,0,2
2017,2,663897,General Commercial,MI,28,30,0,NA
2023,0,357474,Manufacturing,IL,94,22,0,NA
2018,1,804103,Financial Services,TX,39,32,0,NA
2023,0,2761080,General Commercial,TX,133,16,1,NA
2020,0,1078649,Manufacturing,CA,170,32,0,4
2023,0,2549765,Financial Services,GA,841,16,1,NA
2018,0,1506000,General Commercial,TX,77,28,0,NA
2023,0,463588,General Commercial,TX,67,16,0,NA
2021,0,1348956,Manufacturing,TX,190,19,0,4
2019,0,456444,General Commercial,VA,75,28,0,NA
2024,0,1945236,General Commercial,NC,158,68,0,NA
2022,0,2161088,General Commercial,TX,107,44,0,NA
2019,0,1607027,Manufacturing,VA,369,22,0,2
2020,0,928977,General Commercial,TX,225,16,0,4
2020,0,1999583,Manufacturing,CA,500,37,0,2
2014,0,808136,General Commercial,FL,125,18,0,NA
2018,0,688415,General Commercial,MA,34,44,0,1
2020,0,2210832,Manufacturing,VA,459,38,0,4
2014,1,6003224,General Commercial,OH,562,28,1,4
2021,1,395363,General Commercial,NY,33,16,0,3
2018,1,1854660,General Commercial,CA,633,31,0,4
2020,0,678096,General Commercial,NJ,100,50,0,NA
2022,0,686262,General Commercial,FL,80,24,0,2
2016,0,1833865,General Commercial,CA,164,51,0,NA
2017,0,450090,Manufacturing,GA,59,28,0,NA
2016,0,465461,General Commercial,PA,34,22,0,NA
2014,2,831514,General Commercial,NY,48,26,0,NA
2020,0,702536,General Commercial,NY,86,28,0,NA
2014,0,330472,General Commercial,FL,40,18,0,NA
2024,0,1024335,Manufacturing,MA,89,21,0,NA
2023,0,173649,Financial Services,MA,3,27,0,2
2013,0,2395557,Manufacturing,CA,86,16,0,NA
2018,0,1558544,Financial Services,TX,83,61,0,NA
2021,0,1203465,General Commercial,PA,81,27,0,3
2021,0,581003,Manufacturing,CA,103,26,0,2
2016,0,1723651,Manufacturing,PA,87,35,0,3
2021,0,557708,General Commercial,TX,17,18,0,2
2014,0,447151,General Commercial,CA,22,53,0,NA
2023,0,688258,Manufacturing,PA,39,16,0,4
2016,0,3481412,General Commercial,NY,133,29,1,NA
2014,1,3475040,General Commercial,MI,91,38,1,2
2014,0,802582,General Commercial,NY,107,17,0,1
2023,0,594901,General Commercial,NY,69,104,0,3
2015,0,350101,Manufacturing,TX,105,33,0,NA
2014,0,1334233,Manufacturing,IL,120,29,0,NA
2015,0,765101,General Commercial,CA,86,20,0,NA
2019,1,996771,Financial Services,VA,54,27,0,NA
2023,0,934834,Financial Services,MI,174,31,0,2
2018,0,630270,Manufacturing,NJ,141,42,0,NA
2016,0,306697,Financial Services,CA,46,25,0,2
2023,0,1817364,Financial Services,IL,193,30,0,NA
2021,1,1130471,General Commercial,MI,132,31,0,2
2020,0,722810,General Commercial,MA,193,38,0,4
2014,0,734213,General Commercial,OH,72,16,0,2
2015,0,1301023,Manufacturing,TX,135,16,0,3
2021,1,928154,Oil/Gas,FL,83,20,0,NA
2021,0,2194653,General Commercial,GA,295,28,0,NA
2017,1,1342457,Manufacturing,GA,147,20,0,NA
2015,0,3206231,General Commercial,NY,183,25,1,3
2023,0,521702,Financial Services,MA,52,27,0,1
2022,0,1490549,General Commercial,NY,91,18,0,2
2015,0,597359,General Commercial,FL,29,16,0,2
2017,0,1163037,General Commercial,TX,145,19,0,5
2021,0,1262856,General Commercial,NJ,36,28,0,5
2019,4,4394228,General Commercial,MI,320,27,1,2
2023,0,3307277,General Commercial,NJ,297,25,1,NA
2021,0,712863,Oil/Gas,MI,157,31,0,4
2014,0,585197,General Commercial,CA,87,76,0,NA
2020,0,2528315,Manufacturing,NJ,304,24,1,3
2022,0,892606,Financial Services,TX,39,16,0,2
2013,0,751908,General Commercial,NJ,61,22,0,3
2020,0,393140,General Commercial,TX,35,30,0,NA
2021,0,859243,Manufacturing,CA,61,20,0,3
2015,0,498366,Oil/Gas,CA,47,25,0,3
2022,0,992466,General Commercial,FL,1183,16,0,NA
2020,1,1135290,Financial Services,CA,48,16,0,NA
2023,0,999601,General Commercial,IL,55,16,0,NA
2024,0,303113,Financial Services,OH,22,30,0,NA
2023,0,2410583,Oil/Gas,CA,93,41,0,NA
2021,0,376270,General Commercial,CA,113,24,0,3
2020,0,1284034,Manufacturing,AZ,137,52,0,2
2017,0,1200338,Financial Services,NY,70,18,0,NA
2018,0,522650,General Commercial,TX,329,65,0,5
2022,0,531568,General Commercial,NC,21,19,0,NA
2014,0,1032636,Manufacturing,NY,86,56,0,NA
2020,0,1843235,General Commercial,MI,105,20,0,NA
2019,0,964786,Manufacturing,CA,167,24,0,1
2023,0,2019639,General Commercial,FL,206,19,0,NA
2019,0,1633472,Oil/Gas,TX,212,22,0,2
2022,0,2817659,General Commercial,CA,164,29,1,3
2018,0,594822,Manufacturing,FL,83,24,0,2
2021,0,1058046,General Commercial,FL,101,16,0,NA
2018,0,714938,Financial Services,NJ,164,39,0,NA
2015,1,435090,Oil/Gas,CA,49,27,0,NA
2021,0,501155,General Commercial,MI,44,16,0,NA
2023,0,1523506,Manufacturing,CA,97,20,0,2
2015,0,921744,Financial Services,TX,55,40,0,2
2020,0,1091366,Manufacturing,TX,208,35,0,3
2016,0,2295740,General Commercial,FL,245,36,0,NA
2023,0,1604753,Manufacturing,WA,296,29,0,NA
2022,0,682567,Manufacturing,NJ,119,16,0,NA
2022,0,1228202,Manufacturing,CA,259,26,0,2
2019,0,1255501,General Commercial,CA,121,16,0,3
2014,0,998158,General Commercial,CA,314,45,0,3
2021,0,2398962,General Commercial,CA,183,43,0,NA
2013,0,764459,Manufacturing,FL,47,16,0,2
2018,0,2029727,Financial Services,VA,273,27,0,NA
2022,0,2042239,General Commercial,FL,305,16,0,NA
2022,0,628826,General Commercial,CA,72,19,0,NA
2014,0,731651,General Commercial,CA,22,20,0,2
2018,0,393257,Manufacturing,NJ,33,16,0,2
2021,0,381782,General Commercial,NY,54,27,0,NA
2013,0,611025,General Commercial,OH,97,30,0,NA
2023,0,1311250,Manufacturing,FL,95,16,0,NA
2024,0,1751861,General Commercial,CA,151,36,0,NA
2014,0,554358,General Commercial,AZ,84,46,0,NA
2018,0,2639878,General Commercial,VA,542,34,1,3
2015,0,860107,Manufacturing,PA,72,24,0,2
2024,0,1352369,General Commercial,CA,78,135,0,1
2016,0,433373,General Commercial,MI,26,44,0,NA
2017,0,1144379,Oil/Gas,CA,169,51,0,2
2019,0,1145905,Manufacturing,NJ,37,25,0,NA
2020,0,1496938,General Commercial,NY,77,37,0,3
2023,0,2101341,Manufacturing,NC,165,28,0,2
2018,0,1648680,Financial Services,PA,127,25,0,3
2019,0,631236,General Commercial,PA,61,42,0,NA
2013,0,3219542,Financial Services,PA,336,73,1,NA
2015,1,1315395,Oil/Gas,CA,34,34,0,NA
2017,0,997815,General Commercial,TX,85,35,0,2
2019,0,626969,General Commercial,FL,34,35,0,2
2015,2,8306995,Manufacturing,TX,646,38,1,NA
2015,1,1212886,General Commercial,MI,123,17,0,2
2017,0,749597,Financial Services,FL,86,33,0,3
2017,0,1194387,Manufacturing,OH,341,32,0,NA
2019,1,3080138,General Commercial,GA,347,28,1,3
2020,0,970481,General Commercial,FL,81,24,0,2
2021,0,1524334,General Commercial,MA,102,19,0,NA
2013,0,863179,General Commercial,FL,42,32,0,2
2020,0,835655,Manufacturing,PA,32,37,0,NA
2019,0,1966081,General Commercial,WA,69,41,0,3
2020,0,766187,Oil/Gas,CA,181,50,0,2
2013,0,406199,General Commercial,NJ,43,17,0,1
2022,0,295757,Manufacturing,CA,72,46,0,2
2018,0,443424,General Commercial,OH,132,31,0,5
2019,0,1478207,General Commercial,IL,149,19,0,3
2019,1,1119578,Manufacturing,GA,184,16,0,1
2023,0,977864,General Commercial,OH,123,18,0,3
2019,0,946042,Manufacturing,FL,29,32,0,NA
2022,0,917397,General Commercial,OH,83,25,0,NA
2020,0,776510,Manufacturing,MA,170,76,0,3
2022,0,1213884,Manufacturing,FL,115,17,0,NA
2013,0,381889,General Commercial,CA,9,23,0,2
2020,0,1157664,Financial Services,CA,210,16,0,NA
2016,0,1193157,General Commercial,OH,202,18,0,3
2018,0,2862196,General Commercial,MI,237,27,1,NA
2018,0,1144029,Financial Services,PA,228,21,0,3
2020,0,1107824,General Commercial,NY,201,29,0,NA
2020,0,1217427,Manufacturing,CA,70,16,0,2
2018,0,891461,General Commercial,IL,63,21,0,4
2022,0,433470,Manufacturing,PA,36,53,0,1
2018,0,464743,Manufacturing,TX,98,31,0,NA
2016,0,1196537,Oil/Gas,MI,90,40,0,2
2019,0,1423971,Manufacturing,OH,315,37,0,4
2015,0,397185,Manufacturing,PA,33,20,0,5
2019,0,1067821,Manufacturing,GA,74,67,0,2
2015,0,2596890,Manufacturing,NC,466,36,1,3
2016,0,972814,Manufacturing,IL,116,23,0,NA
2023,0,1498274,General Commercial,WA,152,23,0,3
2020,0,1312031,General Commercial,CA,204,52,0,2
2019,0,596970,General Commercial,FL,96,43,0,3
2023,0,2736508,General Commercial,NY,128,44,1,3
2018,0,387913,Oil/Gas,WA,48,25,0,5
2017,0,1869846,Manufacturing,TX,97,40,0,4
2019,1,2780749,Manufacturing,IL,325,26,1,3
2019,1,680380,General Commercial,NY,113,25,0,NA
2023,0,791211,Oil/Gas,IL,61,46,0,4
2017,0,236622,General Commercial,TX,38,44,0,NA
2022,0,1887046,Financial Services,CA,516,27,0,2
2020,0,1523742,General Commercial,PA,154,16,0,3
2024,0,380475,General Commercial,PA,78,36,0,NA
2019,0,353510,General Commercial,NY,16,42,0,NA
2021,0,631291,General Commercial,TX,37,21,0,5
2015,0,2749465,General Commercial,CA,102,28,1,NA
2015,0,1060010,General Commercial,PA,60,69,0,NA
2023,0,470120,General Commercial,NY,37,29,0,NA
2023,0,1757457,Manufacturing,MI,471,16,0,2
2018,0,1204325,General Commercial,FL,62,34,0,3
2022,0,2411867,General Commercial,TX,302,45,0,2
2016,0,1857924,Financial Services,PA,128,16,0,2
2023,0,328133,Financial Services,FL,49,44,0,NA
2024,0,591745,General Commercial,CA,41,16,0,NA
2024,0,698466,Manufacturing,FL,96,23,0,3
2015,0,1907916,General Commercial,IL,921,18,0,2
2016,0,1207919,Manufacturing,FL,134,58,0,3
2017,0,471399,Manufacturing,VA,31,60,0,NA
2015,0,650459,General Commercial,FL,49,30,0,3
2020,0,261777,Oil/Gas,IL,27,16,0,4
2023,0,266577,Manufacturing,MA,41,47,0,NA
2015,0,758299,Manufacturing,CA,59,20,0,3
2017,0,431281,Manufacturing,NY,72,25,0,3
2021,0,1447730,General Commercial,WA,90,16,0,4
2013,0,439131,General Commercial,NC,79,16,0,4
2021,0,5421268,Manufacturing,CA,244,16,1,4
